"Subject","Session","Block","Trial","LocationNumber","ClickNumber","Timestamp","SetSize","LocationX","LocationY","ColorIndex","TrueColor","RespColor","Error","RT"
"0","1","0","16","3","1","1667572787","4","-3.267834210090162","-5.032023407672545","100","[ 1.   -0.2   0.63]","[-1.0, -1.0, -1.0]","None","5.306904199998826"
"0","1","0","16","4","4","1667572787","4","5.032023407672544","-3.267834210090162","295","[-0.14  0.47  0.07]","[-1.0, -1.0, -1.0]","None","8.306681299989577"
"0","1","0","17","1","2","1667572795","2","-4.242640687119285","4.242640687119286","123","[ 0.98 -0.07  0.94]","[-1.0, -1.0, -1.0]","None","3.188634100020863"
"0","1","0","17","2","1","1667572795","2","4.458868952864366","-4.0147836381531485","66","[ 1.   -0.18  0.16]","[-1.0, -1.0, -1.0]","None","1.9141769999987446"
"0","1","0","18","1","1","1667572800","2","-2.908857721478022","5.247718242836375","295","[-0.14  0.47  0.07]","[-1.0, -1.0, -1.0]","None","0.7149802000203636"
"0","1","0","18","2","2","1667572800","2","3.4414586181062763","-4.914912265733951","85","[ 1.   -0.23  0.42]","[-1.0, -1.0, -1.0]","None","1.7123018999991473"
"0","1","0","19","1","3","1667572816","6","4.528257481336632","3.9363541739430437","18","[ 0.98  0.11 -0.33]","[-1.0, -1.0, -1.0]","None","6.683471500000451"
"0","1","0","19","2","4","1667572816","6","-1.4515313735980067","5.821774357655979","345","[ 0.6   0.3  -0.37]","[-1.0, -1.0, -1.0]","None","10.012803499994334"
"0","1","0","19","3","5","1667572816","6","-5.868885604402834","1.247470144906556","141","[0.71 0.07 1.  ]","[-1.0, -1.0, -1.0]","None","10.829137699998682"
"0","1","0","19","4","6","1667572816","6","-4.596266658713868","-3.8567256581192355","108","[ 1.   -0.16  0.74]","[-1.0, -1.0, -1.0]","None","11.49092759998166"
"0","1","0","19","5","1","1667572816","6","1.953408926742938","-5.673111453595902","193","[-0.78  0.38  1.  ]","[-1.0, -1.0, -1.0]","None","1.8866418999969028"
"0","1","0","19","6","2","1667572816","6","5.706339097770921","-1.854101966249686","258","[-1.    0.51  0.6 ]","[-1.0, -1.0, -1.0]","None","3.478755399992224"
"0","1","1","0","1","2","1667572826","6","4.014783638153149","4.458868952864366","109","[ 1.   -0.15  0.76]","[-1.0, -1.0, -1.0]","None","1.5902699999860488"
"0","1","1","0","2","1","1667572826","6","-1.4515313735980067","5.821774357655979","291","[-0.22  0.47  0.13]","[-1.0, -1.0, -1.0]","None","0.9847251999890432"
"0","1","1","0","3","6","1667572826","6","-5.706339097770921","1.8541019662496852","80","[ 1.   -0.22  0.35]","[-1.0, -1.0, -1.0]","None","4.254697199998191"
"0","1","1","0","4","5","1667572826","6","-4.458868952864366","-4.014783638153149","341","[ 0.55  0.33 -0.36]","[-1.0, -1.0, -1.0]","None","3.5791008999804035"
"0","1","1","0","5","4","1667572826","6","1.7542302283364202","-5.737828535778212","18","[ 0.98  0.11 -0.33]","[-1.0, -1.0, -1.0]","None","2.8996445999946445"
"0","1","1","0","6","3","1667572826","6","5.868885604402833","-1.2474701449065593","261","[-1.    0.5   0.56]","[-1.0, -1.0, -1.0]","None","2.230343199975323"
"0","1","1","1","1","2","1667572834","4","3.4414586181062763","4.914912265733951","21","[ 1.    0.09 -0.32]","[-1.0, -1.0, -1.0]","None","1.5722172999812756"
"0","1","1","1","2","1","1667572834","4","-4.854101966249684","3.5267115137548393","138","[0.76 0.04 1.  ]","[-1.0, -1.0, -1.0]","None","0.7977207999792881"
"0","1","1","1","3","4","1667572834","4","-3.856725658119237","-4.596266658713867","331","[ 0.4   0.36 -0.3 ]","[-1.0, -1.0, -1.0]","None","3.3172095000045374"
"0","1","1","1","4","3","1667572834","4","4.528257481336631","-3.9363541739430445","302","[-0.01  0.45 -0.01]","[-1.0, -1.0, -1.0]","None","2.553367899992736"
"0","1","1","2","1","1","1667572839","1","-5.985384301558945","0.41853884246475315","359","[ 0.77  0.23 -0.4 ]","[-1.0, -1.0, -1.0]","None","0.8179286000085995"
"0","1","1","3","1","1","1667572845","2","1.1448539722592694","5.889763100685984","144","[0.66 0.08 1.  ]","[-1.0, -1.0, -1.0]","None","0.86512900001253"
"0","1","1","3","2","2","1667572845","2","-1.2474701449065586","-5.868885604402833","306","[ 0.05  0.44 -0.07]","[-1.0, -1.0, -1.0]","None","1.8031375000136904"
"0","1","1","4","1","2","1667572852","4","4.242640687119286","4.242640687119286","38","[ 1.   -0.02 -0.18]","[-1.0, -1.0, -1.0]","None","1.6886622000019997"
"0","1","1","4","2","1","1667572852","4","-3.441458618106277","4.91491226573395","113","[ 1.   -0.13  0.81]","[-1.0, -1.0, -1.0]","None","1.0953694000199903"
"0","1","1","4","3","4","1667572852","4","-4.3160388020319065","-4.1679502227539835","332","[ 0.42  0.36 -0.32]","[-1.0, -1.0, -1.0]","None","2.929921800008742"
"0","1","1","4","4","3","1667572852","4","3.693968851953951","-4.728064521640331","239","[-1.    0.49  0.87]","[-1.0, -1.0, -1.0]","None","2.275882400019327"
"0","1","1","5","1","1","1667572858","2","-1.247470144906556","5.868885604402834","33","[ 1.    0.01 -0.22]","[-1.0, -1.0, -1.0]","None","1.1308095999993384"
"0","1","1","5","2","2","1667572858","2","1.1448539722592708","-5.889763100685983","358","[ 0.76  0.24 -0.4 ]","[-1.0, -1.0, -1.0]","None","2.15970209997613"
"0","1","1","6","1","3","1667572869","6","4.528257481336632","3.9363541739430437","252","[-1.    0.5   0.69]","[-1.0, -1.0, -1.0]","None","3.5316808999923524"
"0","1","1","6","2","4","1667572869","6","-1.247470144906556","5.868885604402834","117","[ 1.   -0.11  0.87]","[-1.0, -1.0, -1.0]","None","5.318519599997671"
"0","1","1","6","3","5","1667572869","6","-5.673111453595901","1.9534089267429395","43","[ 1.   -0.06 -0.11]","[-1.0, -1.0, -1.0]","None","6.134195599996019"
"0","1","1","6","4","6","1667572869","6","-4.242640687119286","-4.242640687119285","212","[-1.    0.44  1.  ]","[-1.0, -1.0, -1.0]","None","6.871464800002286"
"0","1","1","6","5","1","1667572869","6","1.6538241349019964","-5.7675701756299125","341","[ 0.55  0.33 -0.36]","[-1.0, -1.0, -1.0]","None","2.1239938999933656"
"0","1","1","6","6","2","1667572869","6","5.673111453595901","-1.9534089267429402","285","[-0.35  0.48  0.22]","[-1.0, -1.0, -1.0]","None","2.8439736000145786"
"0","1","1","7","1","3","1667572879","6","5.088288576938556","3.1795155853992294","208","[-1.    0.44  1.  ]","[-1.0, -1.0, -1.0]","None","3.0733492000144906"
"0","1","1","7","2","2","1667572879","6","-0.5229344564859494","5.977168188550474","317","[ 0.22  0.41 -0.18]","[-1.0, -1.0, -1.0]","None","2.3735237999935634"
"0","1","1","7","3","1","1667572879","6","-5.563103127400724","2.2476395604954735","237","[-1.    0.49  0.89]","[-1.0, -1.0, -1.0]","None","0.9114927999908105"
"0","1","1","7","4","6","1667572879","6","-4.854101966249685","-3.5267115137548384","45","[ 1.   -0.07 -0.1 ]","[-1.0, -1.0, -1.0]","None","5.769273300014902"
"0","1","1","7","5","5","1667572879","6","0.7312160604308862","-5.955276909847932","284","[-0.36  0.48  0.23]","[-1.0, -1.0, -1.0]","None","5.116225100005977"
"0","1","1","7","6","4","1667572879","6","5.523029120714641","-2.3443867709356434","355","[ 0.73  0.25 -0.4 ]","[-1.0, -1.0, -1.0]","None","4.4699030999909155"
"0","1","1","8","1","1","1667572883","1","3.8567256581192364","4.596266658713868","172","[0.02 0.28 1.  ]","[-1.0, -1.0, -1.0]","None","0.6637928000127431"
"0","1","1","9","1","1","1667572889","2","-2.9999999999999987","5.196152422706632","10","[ 0.89  0.17 -0.37]","[-1.0, -1.0, -1.0]","None","0.682478299975628"
"0","1","1","9","2","2","1667572889","2","3.6108901389122874","-4.791813060283758","136","[0.79 0.03 1.  ]","[-1.0, -1.0, -1.0]","None","1.3941883999796119"
"0","1","1","10","1","3","1667572898","6","5.926130043570827","0.9386067902413853","145","[0.64 0.1  1.  ]","[-1.0, -1.0, -1.0]","None","3.1809072000032756"
